"caudate","thalamus","putamen","pallidum","bilateral_hippocampus","amygdala","accumbens.area","VentralDC","Left.Lateral.Ventricle","Right.Lateral.Ventricle","ICV"
6830.6,14647,8121.4,3786.1,7490.1,2226.9,953.2,8474.6,10117.4,7312.7,1412463.742
8772,14541.4,11186.4,4596,10040.7,3740.4,1053.6,9238.9,17970.2,18015.5,1970854.468
6064.5,11987.6,7667.8,2885.2,6602.2,2480.4,851.1,6928.4,11009.3,10770.8,1255116.566
5923.2,12211.1,9161.4,3160.1,7512.3,2950.7,1114.7,7129.9,5467.1,5740.5,1276234.254
6051.3,12075,8592.9,3230,7994.6,2965.9,948.2,6869.7,10331.6,9974.5,1459628.808
6931.5,14524.1,8804.6,3700.5,7919.4,2822.9,900.9,7775.5,12416.9,9345,1136656.546
6754.7,12408.5,9567.3,3321.4,7651.5,2691.1,973.3,7774.3,4132.9,3705.2,1048766.98
6054.8,12213,7863.8,3412.4,8088,2662,791.9,7928.1,11658.8,11618.8,1490188.655
5905.6,11018.3,7799.5,3414.9,6574.3,2558.6,737.5,6574,7593.4,8533.7,1365369.753
6091.7,11156.8,7696,3094.1,6478.3,1960.9,790.3,6186.3,21928.9,18564.6,1493558.664
6800,12927.8,7666.9,3238.3,6088.2,2314.4,789.9,7051.7,28663.4,27216.2,1678574.111
7099.5,13326.4,8835.3,3565.1,8828.2,3312,750.2,8504.9,28809.3,33281.4,1881319.296
8224.8,14686.7,12098.8,4104,7790.8,3066.1,1148.1,8715.1,23489.6,24137.6,1821509.414
6896.8,15076.9,9198.7,3782.8,8634.9,3174,986.7,8685,9809.4,7735.8,1465115.436
6566.4,13356.2,6720.7,2913.9,6825.4,2295.6,829.4,6438.8,49579.4,32615,1872241.737
6586,10400.2,7449.4,2910.3,6722.1,2409.7,606.8,6236.2,12446.5,11012.4,1196666.651
8099.4,15627.5,9950.7,4322.6,9109.4,3493.6,1281.9,10692.1,12415.3,10484.8,1871016.903
7676.8,11150.7,7402.2,2769.9,7124.2,2540.8,806.6,7230.9,17755.7,16124.9,1539613.023
6782.2,11190.9,8245.2,3702.3,6247.4,2822.5,734.7,7255.7,34117.4,28805,1590633.287
6260.2,13742.5,9235.6,4332.4,7312.3,2900,942.3,8893.1,15183.5,10727.4,1684760.888
6464,12714.7,7490.1,2925.7,6935.9,2251.8,990,6877.1,5926.9,4608.9,1348255.172
7076.8,12633.1,8819.9,3807.3,6707.5,2302.3,908.6,7651.9,26170.6,24515.2,1596841.55
